62.0	38.56	35.12	32.31	30.90	29.87
62.5	38.59	35.12	32.31	30.96	29.90
63.0	38.62	35.12	32.34	30.96	29.93
63.5	38.65	35.18	32.37	31.02	29.99
64.0	38.68	35.18	32.37	31.02	29.99
64.5	38.68	35.24	32.43	31.09	30.05
65.0	38.72	35.24	32.43	31.09	30.05
65.5	38.75	35.28	32.43	31.09	30.05
66.0	38.78	35.31	32.49	31.15	30.12
66.5	38.81	35.31	32.49	31.15	30.12
67.0	38.84	35.34	32.49	31.18	30.18
67.5	38.87	35.34	32.52	31.21	30.21
68.0	38.90	35.34	32.56	31.21	30.24
68.5	38.93	35.40	32.56	31.27	30.27
69.0	38.97	35.40	32.59	31.27	30.30
69.5	39.00	35.40	32.62	31.34	30.34
70.0	39.00	35.46	32.62	31.34	30.37
70.5	39.03	35.46	32.65	31.37	30.37
71.0	39.06	35.49	32.68	31.40	30.43
71.5	39.09	35.53	32.68	31.40	30.43
72.0	39.09	35.53	32.71	31.43	30.46
72.5	39.12	35.53	32.74	31.46	30.49
73.0	39.15	35.56	32.74	31.46	30.52
73.5	39.18	35.56	32.77	31.46	30.55
74.0	39.22	35.59	32.81	31.52	30.59
74.5	39.25	35.62	32.81	31.52	30.62
75.0	39.25	35.62	32.84	31.55	30.62
75.5	39.28	35.62	32.84	31.59	30.68
76.0	39.31	35.68	32.87	31.59	30.68
76.5	39.31	35.68	32.87	31.65	30.71
77.0	39.34	35.68	32.87	31.65	30.74
77.5	39.37	35.74	32.93	31.68	30.77
78.0	39.37	35.74	32.93	31.71	30.80
78.5	39.40	35.74	32.93	31.71	30.80
79.0	39.43	35.81	32.96	31.74	30.87
79.5	39.47	35.81	32.96	31.74	30.87
80.0	39.47	35.81	32.99	31.77	30.90
80.5	39.50	35.87	33.02	31.77	30.93
81.0	39.53	35.87	33.06	31.80	30.93
81.5	39.56	35.87	33.06	31.84	30.99
82.0	39.56	35.87	33.06	31.84	30.99
82.5	39.59	35.93	33.09	31.84	31.02
83.0	39.62	35.93	33.09	31.90	31.05
83.5	39.62	35.93	33.12	31.90	31.05
84.0	39.62	35.99	33.12	31.96	31.12
84.5	39.65	35.99	33.12	31.96	31.12
85.0	39.68	35.99	33.15	31.96	31.15
85.5	39.68	35.99	33.18	31.99	31.15
86.0	39.68	35.99	33.18	32.02	31.18
86.5	39.72	36.06	33.18	32.02	31.24
87.0	39.75	36.06	33.21	32.02	31.24
87.5	39.78	36.06	33.21	32.06	31.24
88.0	39.78	36.12	33.24	32.09	31.27
88.5	39.81	36.12	33.24	32.09	31.30
89.0	39.81	36.12	33.27	32.09	31.30
89.5	39.84	36.18	33.27	32.15	31.37
90.0	39.87	36.18	33.31	32.15	31.37
90.5	39.87	36.18	33.31	32.15	31.37
91.0	39.87	36.18	33.31	32.15	31.40
91.5	39.90	36.24	33.37	32.21	31.46
92.0	39.93	36.24	33.37	32.21	31.46
92.5	39.93	36.24	33.37	32.24	31.49
93.0	39.93	36.24	33.40	32.27	31.49
93.5	39.97	36.24	33.43	32.27	31.52
94.0	40.00	36.31	33.43	32.27	31.55
94.5	40.00	36.31	33.43	32.31	31.55
95.0	40.00	36.31	33.43	32.34	31.59
95.5	40.03	36.37	33.46	32.34	31.62
96.0	40.06	36.37	33.49	32.37	31.62
96.5	40.06	36.37	33.49	32.37	31.65
97.0	40.06	36.37	33.49	32.40	31.68
97.5	40.09	36.43	33.49	32.40	31.68
98.0	40.12	36.43	33.52	32.40	31.71
98.5	40.12	36.43	33.56	32.43	31.74
99.0	40.15	36.43	33.56	32.46	31.74
99.5	40.18	36.50	33.56	32.46	31.77
100.0	40.18	36.50	33.59	32.46	31.80
